SNP ID,№ каталога ВИР,Дата посева,Посев-начало всходов (дней),Начало всходов-начало цветения (дней),Начало всходов-конец цветения (дней),Начало цветения-конец цветения (дней),Начало цветения- начало созревания (дней),Начало всходов- начало созревания (дней),Начало всходов- полное созревание (дней),Начало созревания-полное созревание (дней),Цветок - окраска,Стебель окраска,Форма куста,Размер листочка,Цветоножка (окраска),Аскохитоз (поражение),Аскохитоз (устойчивость),Стебель- ветвистость (балл),Стебель  длина ветвей 1-го порядка,Стебель - характер ветвления (ветви 1-го порядка),Стебель - характер ветвления (ветви 2-го порядка),Осыпаемость бобов,Растрескиваемость бобов,Ptht 1,Ptht 2,Ptht 3,Ptht 4,Ptht 5,Hlp 1,Hlp 2,Hlp 3,Hlp 4,Hlp 5,Byld 1,Byld 2,Byld 3,Byld 4,Byld 5,WpWp 1,WpWp 2,WpWp 3,WpWp 4,WpWp 5,PPP 1,PPP 2,PPP 3,PPP 4,PPP 5,SPP 1,SPP 2,SPP 3,SPP 4,SPP 5,SYDS 1,SYDS 2,SYDS 3,SYDS 4,SYDS 5,PodSH,PDL 1,PDL 2,PDL 3,PDL 4,PDL 5,PDW 1,PDW 2,PDW 3,PDW 4,PDW 5,SSH,SCO,TSW
VIR1009,1009,2016-04-28,8,39,55,16,39,78,96,18,3,7,5,3,7,5,5,7,5,1,5,1,1,36,30,40,40,40,24,25,30,27,25,2.3,5.5,2.9,4.5,7.2,1.1,2,1.9,1.5,2.2,6,19,14,19,25,5,15,8,18,34,0.7,1.2,0.9,1.7,4.1,7,16,19,19,20,20,8,8,8,10,9,3,10,170
VIR1010,1010,2016-04-28,8,39,60,21,38,77,87,10,3,7,5,3,7,3,7,7,5,1,5,1,2,43,45,40,38,36,26,24,23,21,21,7.3,9.5,6.3,6,6.4,2.9,3.7,2.1,2.9,2.8,34,43,29,25,27,30,35,33,19,26,2.6,3.5,3.5,1.9,2.1,7,17,17,20,19,20,9,8,10,10,9,3,10,100
VIR1011,1011,2016-04-28,8,40,55,15,38,78,96,18,3,7,5,3,7,5,5,7,5,1,5,2,1,34,36,47,30,33,21,20,19,19,22,5.8,8.7,13.8,5.4,7.8,1.9,2.8,3.9,1.7,2.5,18,28,57,21,30,22,24,63,24,28,2.7,3.7,6.9,2.3,3.7,7,17,17,17,17,18,7,7,7,7,7,3,10,140
VIR1012,1012,2016-04-28,8,39,61,22,41,80,95,15,3,7,7,5,7,1,9,7,5,1,5,2,1,60,50,60,54,55,26,26,30,27,24,21.3,10.1,26.5,27,20,10.8,5.9,11.9,9.1,7,44,19,56,66,48,59,30,75,96,69,8.6,4.5,10.5,14,10.6,7,21,22,21,22,21,7,9,7,8,7,3,10,160
VIR1013,1013,2016-04-28,8,39,60,21,39,78,93,15,3,7,7,3,7,3,7,7,5,1,5,2,1,50,50,65,50,50,30,27,25,26,26,12.6,13.3,9,25.4,16,5.6,6.3,4.3,6.9,9.4,41,32,40,75,27,50,43,56,102,38,6.2,4.8,6,13.8,4.7,7,21,21,21,21,20,8,8,8,8,8,3,10,140
VIR1014,1014,2016-04-28,8,36,55,19,42,78,95,17,3,7,5,3,7,5,5,7,5,1,5,1,1,50,40,40,42,40,20,23,26,25,23,4.9,4.9,4.7,4.5,8.7,3.2,2.8,3.8,3,7,8,12,7,14,31,8,8,4,3,20,0.9,0.6,0.2,0.3,1.7,7,18,18,20,18,19,9,8,9,9,9,3,10,130
VIR1016,1016,2016-04-28,8,35,55,20,43,78,95,17,3,7,5,3,7,7,3,7,5,1,5,1,1,33,42,40,40,40,25,22,19,23,19,3.4,7.7,15,20.9,10.2,1.7,2.8,5,5.9,3.7,16,32,64,100,40,19,31,68,116,52,1.6,3,6.2,8.5,4.5,7,17,19,19,19,18,9,10,9,9,8,3,10,115
VIR1019,1019,2016-04-28,9,40,59,19,40,80,97,17,3,7,3,3,7,7,3,7,5,1,5,2,2,37,30,50,40,30,20,16,20,16,22,6.5,6.2,17.3,12.8,3.5,2.3,2.6,5.7,3.3,1.8,23,17,67,66,13,23,19,60,56,11,25,1.6,6.9,6,0.7,7,17,17,16,17,16,8,8,7,7,7,3,10,140
VIR1032,1032,2016-04-28,8,35,55,20,43,78,95,17,3,7,5,3,7,5,5,5,5,1,5,2,1,30,30,30,33,33,21,21,20,19,19,5.1,6.7,11.2,6.2,15.4,2.7,2.8,4.7,2.8,6,17,23,41,21,53,16,22,37,21,40,1.6,1.8,4,1.8,4.5,7,16,17,17,18,16,9,10,11,10,8,3,10,135
VIR1033,1033,2016-04-28,8,37,60,23,44,81,98,17,3,7,5,3,7,7,3,7,5,1,5,1,2,56,45,43,45,60,25,21,20,21,23,22.9,17.2,28.2,18.4,52.3,6.8,5.9,10.8,7.8,15.6,80,58,76,50,126,941,68,85,61,138,9.4,8.7,10.8,8.4,26.3,7,20,20,20,22,20,11,9,8,9,10,3,10,135
